Date,Card Type,Product,Site No,Quantity,Unit Price,Cost,,
01/05/2024,BP BUNKER,BP AD BLUE,025319,23.45,1.263966,29.64,truck46,
01/05/2024,UK FUELS,DIESEL (TP),15120,53.34,1.274466,67.98,truck24,
30/04/2024,BP BUNKER,BP CLEANER DIESEL,273101,313,1.308786,409.65,truck46,
30/04/2024,UK FUELS,DIESEL,8843,260.01,1.26899,329.95,truck28,
30/04/2024,BP BUNKER,BP CLEANER DIESEL,159104,256.33,1.308782,335.48,truck54,
30/04/2024,UK FUELS,DIESEL,10984,250.03,1.256489,314.16,truck45,
29/04/2024,UK FUELS,DIESEL (TP),10538,50.3,1.268986,63.83,truck2,
29/04/2024,UK FUELS,DIESEL,12830,70.23,1.256443,88.24,truck31,
26/04/2024,UK FUELS,DIESEL,8944,11.25,1.268444,14.27,truck31,
26/04/2024,BP BUNKER,BP CLEANER DIESEL,003491,150.8,1.331499,200.79,truck43,
26/04/2024,UK FUELS,DIESEL,11730,150,1.268133,190.22,truck44,
25/04/2024,BP BUNKER,BP CLEANER DIESEL,305705,349.63,1.331493,465.53,truck15,
25/04/2024,BP BUNKER,BP AD BLUE,305705,28.39,1.26453,35.9,truck15,
24/04/2024,BP BUNKER,BP CLEANER DIESEL,159104,273.71,1.331482,364.44,truck54,
24/04/2024,BP BUNKER,BP AD BLUE,159104,19.05,1.465617,27.92,truck54,
23/04/2024,BP BUNKER,BP CLEANER DIESEL,600220,160.4,1.331484,213.57,truck23,
23/04/2024,BP BUNKER,BP CLEANER DIESEL,600220,50,1.3316,66.58,truck23,
23/04/2024,BP BUNKER,BP AD BLUE,302605,47.5,1.557474,73.98,truck40,
23/04/2024,BP BUNKER,BP AD BLUE,167723,53.72,1.447506,77.76,truck35,
22/04/2024,UK FUELS,DIESEL,10259,50.03,1.268039,63.44,truck31,
22/04/2024,BP BUNKER,BP CLEANER DIESEL,156004,165.13,1.331496,219.87,truck20,
19/04/2024,BP BUNKER,BP CLEANER DIESEL,275208,272.21,1.347085,366.69,truck46,
19/04/2024,BP BUNKER,BP AD BLUE,275208,25.59,1.55764,39.86,truck46,
19/04/2024,UK FUELS,DIESEL,8945,250,1.29,322.5,truck44,
19/04/2024,UK FUELS,DIESEL,8080,263.8,1.289992,340.3,truck28,
18/04/2024,BP BUNKER,BP CLEANER DIESEL,167723,209.42,1.347102,282.11,truck40,
18/04/2024,BP BUNKER,BP CLEANER DIESEL,280806,138.59,1.347067,186.69,truck23,
17/04/2024,UK FUELS,DIESEL,8080,140.76,1.289997,181.58,truck28,
17/04/2024,UK FUELS,DIESEL,11031,118.26,1.290039,152.56,#N/A,
17/04/2024,UK FUELS,DIESEL,11031,250.15,1.289986,322.69,#N/A,
17/04/2024,BP BUNKER,BP CLEANER DIESEL,283603,152.64,1.347091,205.62,truck40,
17/04/2024,BP BUNKER,BP AD BLUE,283603,36.07,1.447186,52.2,truck40,
17/04/2024,BP BUNKER,BP AD BLUE,162100,27.33,1.465789,40.06,truck33,
17/04/2024,BP BUNKER,BP CLEANER DIESEL,162100,134.01,1.347064,180.52,truck33,
16/04/2024,BP BUNKER,BP CLEANER DIESEL,096412,257.13,1.347101,346.38,truck41,
16/04/2024,BP BUNKER,BP CLEANER DIESEL,269607,175.01,1.347123,235.76,truck20,
16/04/2024,BP BUNKER,BP CLEANER DIESEL,450511,201.06,1.34711,270.85,truck18,
16/04/2024,BP BUNKER,BP CLEANER DIESEL,110109,120.39,1.347122,162.18,truck40,
15/04/2024,BP BUNKER,BP CLEANER DIESEL,158505,236.63,1.347082,318.76,truck41,
15/04/2024,BP BUNKER,BP AD BLUE,290346,32.6,1.263804,41.2,truck5,
15/04/2024,BP BUNKER,BP CLEANER DIESEL,159104,272,1.347096,366.41,truck46,
13/04/2024,UK FUELS,DIESEL,8682,75.41,1.309641,98.76,truck24,
12/04/2024,BP BUNKER,BP CLEANER DIESEL,094416,219.35,1.362982,298.97,truck23,
12/04/2024,UK FUELS,DIESEL (TP),6675,250.01,1.297108,324.29,truck44,
12/04/2024,BP BUNKER,BP CLEANER DIESEL,354050,282.72,1.363009,385.35,truck41,
12/04/2024,UK FUELS,DIESEL,8938,162.44,1.297094,210.7,truck40,
11/04/2024,BP BUNKER,BP AD BLUE,003242,30.83,1.557249,48.01,truck45,
11/04/2024,BP BUNKER,BP CLEANER DIESEL,283603,155.73,1.363,212.26,truck33,
10/04/2024,BP BUNKER,BP AD BLUE,284606,24.07,1.263814,30.42,truck33,
10/04/2024,UK FUELS,ADBLUE PACK,9309,1,35.21,35.21,truck6,
09/04/2024,BP BUNKER,BP CLEANER DIESEL,116013,200,1.363,272.6,truck20,
09/04/2024,BP BUNKER,BP CLEANER DIESEL,306607,267.5,1.362991,364.6,truck5,
08/04/2024,BP BUNKER,BP CLEANER DIESEL,156004,220.03,1.362996,299.9,truck20,
06/04/2024,UK FUELS,DIESEL (TP),10561,99.67,1.292465,128.82,#N/A,
05/04/2024,UK FUELS,DIESEL (TP),6675,99.99,1.280028,127.99,truck21,
05/04/2024,BP BUNKER,BP CLEANER DIESEL,450511,200.06,1.335899,267.26,truck23,
04/04/2024,BP BUNKER,BP AD BLUE,269708,21.22,1.44722,30.71,truck8,
04/04/2024,BP BUNKER,BP CLEANER DIESEL,269708,308.08,1.335887,411.56,truck8,
04/04/2024,UK FUELS,DIESEL,9810,255,1.30102,331.76,truck40,
04/04/2024,UK FUELS,DIESEL,11031,250.66,1.279981,320.84,truck44,
03/04/2024,BP BUNKER,BP CLEANER DIESEL,600035,250,1.33592,333.98,truck46,
03/04/2024,BP BUNKER,BP AD BLUE,600035,27.93,1.447547,40.43,truck46,
03/04/2024,BP BUNKER,BP CLEANER DIESEL,446512,165,1.335879,220.42,truck20,
03/04/2024,BP BUNKER,BP CLEANER DIESEL,284606,168,1.335893,224.43,truck26,
03/04/2024,UK FUELS,DIESEL,10984,335,1.28,428.8,truck45,
03/04/2024,BP BUNKER,BP CLEANER DIESEL,096412,150.01,1.335911,200.4,truck33,
03/04/2024,BP BUNKER,BP AD BLUE,096412,28.29,1.465889,41.47,truck33,
02/04/2024,UK FUELS,DIESEL,8944,150,1.28,192,truck20,
28/03/2024,BP BUNKER,BP CLEANER DIESEL,028419,153.85,1.340526,206.24,truck33,
28/03/2024,BP BUNKER,BP AD BLUE,028419,23.62,1.465707,34.62,truck33,
28/03/2024,UK FUELS,DIESEL,8938,236,1.283602,302.93,truck40,
28/03/2024,UK FUELS,DIESEL,0030,200,1.2836,256.72,truck44,
27/03/2024,BP BUNKER,BP CLEANER DIESEL,269708,279.68,1.340496,374.91,truck15,
26/03/2024,BP BUNKER,BP CLEANER DIESEL,159205,160,1.3405,214.48,truck20,
26/03/2024,UK FUELS,DIESEL,0030,110.03,1.283559,141.23,truck44,
26/03/2024,UK FUELS,DIESEL (TP),6534,100.04,1.283587,128.41,truck46,
26/03/2024,BP BUNKER,BP CLEANER DIESEL,026228,121.12,1.340489,162.36,truck33,
26/03/2024,BP BUNKER,BP AD BLUE,026228,21,1.447619,30.4,truck33,
25/03/2024,BP BUNKER,BP CLEANER DIESEL,159104,182.88,1.340497,245.15,truck34,
25/03/2024,BP BUNKER,BP CLEANER DIESEL,159104,330.28,1.340499,442.74,truck46,
25/03/2024,BP BUNKER,BP AD BLUE,159104,27.5,1.447273,39.8,truck46,
23/03/2024,BP BUNKER,BP CLEANER DIESEL,269607,201,1.320995,265.52,truck40,
22/03/2024,BP BUNKER,BP CLEANER DIESEL,036821,101.11,1.321036,133.57,truck25,
22/03/2024,UK FUELS,DIESEL (TP),10560,194.05,1.282401,248.85,truck21,
22/03/2024,UK FUELS,DIESEL (TP),6675,260.02,1.269902,330.2,truck44,
22/03/2024,UK FUELS,DIESEL,0464,195,1.269897,247.63,truck40,
21/03/2024,BP BUNKER,BP AD BLUE,306607,27.6,1.381159,38.12,truck33,
21/03/2024,BP BUNKER,BP CLEANER DIESEL,306607,194.76,1.32101,257.28,truck33,
20/03/2024,BP BUNKER,BP CLEANER DIESEL,010913,170,1.321,224.57,truck27,
20/03/2024,BP BUNKER,BP CLEANER DIESEL,010913,110.52,1.321028,146,truck25,
20/03/2024,BP BUNKER,BP CLEANER DIESEL,354050,320.04,1.320991,422.77,truck35,
20/03/2024,BP BUNKER,HVO,354050,4.88,1.711066,8.35,truck35,
20/03/2024,UK FUELS,DIESEL,8938,169.51,1.269896,215.26,truck40,
19/03/2024,UK FUELS,DIESEL,10201,125.02,1.269877,158.76,truck46,
